Dependent,Variable,Coefficient,StdErr,tValue,pValue
Anxiety,const,5.972422591216262,0.530794143159427,11.251862267482501,8.216240861712055e-27
Anxiety,Age,-0.04071469578125565,0.01049830669642398,-3.8782155026128384,0.00011669575607088174
Anxiety,Hours per day,0.018729895944759902,0.038099451480793585,0.4916053963192063,0.623175751845924
Anxiety,While working,-0.012745920219410345,0.28883741733388957,-0.04412835545014013,0.9648165790219818
Anxiety,BPM,-2.4650318940917296e-09,2.787739848382064e-09,-0.8842402907582548,0.37691603855822153
Anxiety,Frequency [Classical],-0.03492697751718046,0.12644237196263244,-0.2762284270300026,0.7824664922351608
Anxiety,Frequency [Country],-0.018181765880100093,0.1306806988789144,-0.13913122623369867,0.8893925248484538
Anxiety,Frequency [EDM],0.07474465817484072,0.11251924628253292,0.6642833172483116,0.5067608362306478
Anxiety,Frequency [Folk],0.2557780923734767,0.12733690521112212,2.0086721280794566,0.045013567052052825
Anxiety,Frequency [Gospel],-0.15199667658256563,0.17061548133311874,-0.8908727121063489,0.37334985392587716
Anxiety,Frequency [Hip hop],-0.15326100707106782,0.18293307202641784,-0.8377982470492542,0.4024732375401424
Anxiety,Frequency [Jazz],0.03724835469311007,0.13791108414031203,0.2700896372855226,0.7871829433015328
Anxiety,Frequency [K pop],0.04186543336339946,0.12524522999319743,0.33426768720591865,0.7382928400487907
Anxiety,Frequency [Latin],-0.035214387371871284,0.13853592433946066,-0.2541895724143286,0.799435047317612
Anxiety,Frequency [Lofi],-0.015991767507502003,0.12553432785611415,-0.12738959757550591,0.8986741689913567
Anxiety,Frequency [Metal],-0.04483138530854014,0.11873975765108809,-0.37756002029476365,0.7058892290511902
Anxiety,Frequency [Pop],0.1239457870448828,0.13738279714987295,0.9021929209205756,0.36731165814430633
Anxiety,Frequency [R&B],0.07101980501093454,0.14258043998904313,0.49810342159409937,0.6185912689029064
Anxiety,Frequency [Rap],0.10044009699562306,0.17580698720423413,0.571308902978596,0.5680013861320523
Anxiety,Frequency [Rock],0.12490978913323088,0.13439980621312347,0.9293896520591416,0.3530560233105223
Anxiety,Frequency [Video game music],0.1074900574592045,0.11885226097507172,0.9044006111229945,0.36614122409209027
Depression,const,3.2526773967508054,0.5654794115569928,5.752070420733574,1.3973080364658354e-08
Depression,Age,-0.020544651053250384,0.011184328933440372,-1.8369140585469812,0.06671052198087385
Depression,Hours per day,0.05087309720920968,0.04058909782946185,1.253368513460359,0.2105533853488066
Depression,While working,0.06819748272491391,0.3077117841154323,0.2216277901769628,0.8246780630621446
Depression,BPM,2.6656128544276368e-09,2.969907466675997e-09,0.8975407093780821,0.3697857261452808
Depression,Frequency [Classical],0.14303539617826877,0.13470487384753266,1.0618427685115917,0.28872865747014914
Depression,Frequency [Country],-0.39140462787842245,0.13922015842912125,-2.8114077177817,0.005091554023436276
Depression,Frequency [EDM],0.07446551954703243,0.1198719277457669,0.6212089931928376,0.5346949452260218
Depression,Frequency [Folk],0.25458027517171267,0.13565786125610357,1.876634887314785,0.06104686796139304
Depression,Frequency [Gospel],0.010187554066936208,0.18176451875013797,0.05604808978665687,0.9553219103642989
Depression,Frequency [Hip hop],0.17174317359888136,0.19488701459304067,0.8812448277147257,0.3785335487479461
Depression,Frequency [Jazz],-0.007316662969125368,0.1469230203684201,-0.04979929592230208,0.960298682637077
Depression,Frequency [K pop],-0.12969263027117514,0.1334295034517765,-0.9719936514494193,0.33144023295691893
Depression,Frequency [Latin],-0.003823304924176249,0.14758869136853436,-0.025905134659872528,0.9793415045466749
Depression,Frequency [Lofi],-0.1433605004237774,0.13373749270054905,-1.0719544499370508,0.2841657958877675
Depression,Frequency [Metal],0.24885807526616235,0.1264989245836307,1.967274236403787,0.049605830180241416
Depression,Frequency [Pop],0.13219680162597125,0.14636021194195828,0.9032290939725902,0.3667620275356904
Depression,Frequency [R&B],0.10824637473595622,0.15189749989446416,0.7126277576073602,0.4763495196279405
Depression,Frequency [Rap],0.12668109358457946,0.18729526870834023,0.6763710287943775,0.49906231843917126
Depression,Frequency [Rock],0.386865682344028,0.14318229451138428,2.7019100627226553,0.007086633583112509
Depression,Frequency [Video game music],0.01585322540774621,0.1266187795486192,0.1252043769831068,0.900403138499599
Insomnia,const,2.3524277576097488,0.595566233882878,3.949901159225842,8.734502144978319e-05
Insomnia,Age,0.0042019513692817465,0.011779400850432283,0.3567202969519067,0.7214249728872888
Insomnia,Hours per day,0.11265304902634529,0.04274867596759519,2.6352406589560755,0.008622167438639933
Insomnia,While working,-0.27677855325731365,0.32408385635546477,-0.854033756478554,0.39342264281693506
Insomnia,BPM,4.091532588319773e-09,3.127923968157757e-09,1.3080665099188935,0.19134507096261807
Insomnia,Frequency [Classical],0.33336473950488166,0.14187196344098468,2.349757707015547,0.01910447581630935
Insomnia,Frequency [Country],-0.23918454117024626,0.14662748765319572,-1.6312394421976804,0.10335764436202607
Insomnia,Frequency [EDM],0.1726858315969248,0.12624981758267165,1.367810543439761,0.17187672325793513
Insomnia,Frequency [Folk],0.058444059563071936,0.1428756553708069,0.40905540843463756,0.6826430495537283
Insomnia,Frequency [Gospel],0.04407142441018709,0.19143545754829483,0.23021557748291677,0.818001692894025
Insomnia,Frequency [Hip hop],-0.035979442425588065,0.20525614715887244,-0.17529045012103459,0.8609097752068605
Insomnia,Frequency [Jazz],-0.07247224004024105,0.15474018703985698,-0.46834788962465274,0.6397036818483156
Insomnia,Frequency [K pop],-0.017990985833749577,0.14052873585765885,-0.12802353713601036,0.8981726791853526
Insomnia,Frequency [Latin],0.11771803230521008,0.15544127564262591,0.7573151456621785,0.44915446795222047
Insomnia,Frequency [Lofi],0.15947191942300598,0.14085311194141903,1.1321859859889396,0.25800256499107976
Insomnia,Frequency [Metal],0.29235775160218347,0.1332294095324707,2.194393509872383,0.02858467474748891
Insomnia,Frequency [Pop],-0.09659859502201205,0.15414743390314684,-0.6266636594333864,0.531114947670637
Insomnia,Frequency [R&B],0.061731947897572984,0.1599793380616355,0.38587450508008364,0.6997245934174705
Insomnia,Frequency [Rap],-0.021433293761426983,0.19726047585282494,-0.10865478078547401,0.9135121574444369
Insomnia,Frequency [Rock],0.10257202644350252,0.15080043262063073,0.6801839004105737,0.4966469342054537
Insomnia,Frequency [Video game music],0.09934371049758012,0.1333556414847779,0.7449531897675274,0.45658787389005795
OCD,const,2.7640558338050654,0.5468791580520093,5.054235095831168,5.724949182190299e-07
OCD,Age,-0.03754786404249136,0.010816444003956698,-3.471368596625305,0.0005545274005574583
OCD,Hours per day,0.09383948200774103,0.03925400499719084,2.390570898802722,0.017125502668484616
OCD,While working,0.2678378676449783,0.29759025347427476,0.9000223109394663,0.36846470945063237
OCD,BPM,1.4211222661461338e-09,2.8722186195888564e-09,0.4947820672332945,0.6209327048416007
OCD,Frequency [Classical],0.13320376742413115,0.1302740409105347,1.0224889509308184,0.3069561943802073
OCD,Frequency [Country],0.2481852470502653,0.13464080472169693,1.843313752938904,0.06576973432337284
OCD,Frequency [EDM],0.2678057498884242,0.11592899331060642,2.310084321795991,0.02121745743984259
OCD,Frequency [Folk],0.025749340765667095,0.13119568180670532,0.19626667898722763,0.8444670219985417
OCD,Frequency [Gospel],0.03761085749133866,0.1757857579714652,0.2139585022436455,0.8306511501277012
OCD,Frequency [Hip hop],0.04628836035126964,0.18847661696905105,0.24559205855690022,0.8060809145343675
OCD,Frequency [Jazz],-0.16472340139625427,0.14209029725115227,-1.1592867675200704,0.2467943952616419
OCD,Frequency [K pop],-0.06766320023971686,0.12904062113612566,-0.5243558163621871,0.6002221890719862
OCD,Frequency [Latin],-0.12144746303195912,0.14273407240660801,-0.8508652558163582,0.39517917319565365
OCD,Frequency [Lofi],0.08273073907413989,0.1293384797276419,0.6396452103685805,0.5226442178403401
OCD,Frequency [Metal],-0.10061688394655577,0.12233800905377115,-0.8224499051830383,0.4111433141224381
OCD,Frequency [Pop],-0.027235359285679023,0.1415460012217698,-0.19241348431318467,0.8474825801908435
OCD,Frequency [R&B],0.20948420109445554,0.1469011517568176,1.4260215021406972,0.15437536196150906
OCD,Frequency [Rap],-0.20365166181086547,0.1811345855657533,-1.124311302420698,0.26132466890913336
OCD,Frequency [Rock],0.019435082452128882,0.13847261468766792,0.14035325682241004,0.8884273717652285
OCD,Frequency [Video game music],-0.1261990095317964,0.12245392164227864,-1.0305836500725407,0.3031458907465633
